"cycle","run","connected_ms","ui_connected","probe_successes","probe_failures","tun_interface","tun_rx_delta","tun_tx_delta","false_connected"
"1","reconnect_001_20260901_160303","3028","True","2","0","tun0","75572","3568","False"
"2","reconnect_002_20260901_160315","3978","True","2","0","tun0","0","0","False"
"3","reconnect_003_20260901_160329","3952","True","2","0","tun1","-6205","-3225","False"
"4","reconnect_004_20260901_160342","3893","True","2","0","tun0","145941","5208","False"
"5","reconnect_005_20260901_160356","3983","True","2","0","tun0","0","0","False"
"6","reconnect_006_20260901_160409","3938","True","2","0","tun0","0","0","False"
"7","reconnect_007_20260901_160423","3984","True","2","0","tun2","154783","8199","False"
"8","reconnect_008_20260901_160436","4042","True","2","0","tun0","146047","5260","False"
"9","reconnect_009_20260901_160449","3821","True","2","0","tun0","144562","6260","False"
"10","reconnect_010_20260901_160503","2880","True","2","0","tun0","145921","5260","False"
"11","reconnect_011_20260901_160515","4222","True","2","0","tun0","0","0","False"
"12","reconnect_012_20260901_160528","5715","True","2","0","tun0","0","0","False"
"13","reconnect_013_20260901_160548","5649","False","0","0","tun2","7245","3902","False"
"14","reconnect_014_20260901_160623","5593","True","2","0","tun0","0","0","False"
"15","reconnect_015_20260901_160642","2848","False","0","0","tun2","260","832","False"
"16","reconnect_016_20260901_160714","2990","True","2","0","tun0","150219","8438","False"
"17","reconnect_017_20260901_160731","5639","False","0","0","tun0","0","0","False"
"18","reconnect_018_20260901_160805","2846","True","2","0","tun0","0","0","False"
"19","reconnect_019_20260901_160822","5629","True","2","0","tun0","0","0","False"
"20","reconnect_020_20260901_160842","4104","True","2","0","tun0","0","0","False"
