"cycle","run","connected_ms","startup_rejected","ui_connected","probe_successes","probe_failures","probe_timed_out","vpn_active","vpn_validated","tun_interface","tun_rx_delta","tun_tx_delta","false_connected"
"1","reconnect_001_20260901_175803","0","True","False","0","0","False","False","False","","0","0","False"
"2","reconnect_002_20260901_175823","0","True","False","0","0","False","False","False","","0","0","False"
"3","reconnect_003_20260901_175843","0","True","False","0","0","False","False","False","","0","0","False"
"4","reconnect_004_20260901_175904","0","True","False","0","0","False","False","False","","0","0","False"
"5","reconnect_005_20260901_175912","0","True","False","0","0","False","False","False","","0","0","False"
"6","reconnect_006_20260901_175921","0","True","False","0","0","False","False","False","","0","0","False"
"7","reconnect_007_20260901_175941","0","True","False","0","0","False","False","False","","0","0","False"
"8","reconnect_008_20260901_180001","0","True","False","0","0","False","False","False","","0","0","False"
"9","reconnect_009_20260901_180010","0","True","False","0","0","False","False","False","","0","0","False"
"10","reconnect_010_20260901_180030","0","True","False","0","0","False","False","False","","0","0","False"
