"cycle","run","connected_ms","startup_rejected","ui_connected","probe_successes","probe_failures","probe_timed_out","vpn_active","vpn_validated","tun_interface","tun_rx_delta","tun_tx_delta","false_connected"
"1","reconnect_001_20260901_173312","9773","False","True","4","0","False","True","True","tun1","18338","5824","False"
"2","reconnect_002_20260901_173331","0","True","False","0","0","False","False","False","","0","0","False"
"3","reconnect_003_20260901_173349","0","True","False","0","0","False","False","False","","0","0","False"
"4","reconnect_004_20260901_173404","0","True","False","0","0","False","False","False","","0","0","False"
"5","reconnect_005_20260901_173425","12997","False","True","4","0","False","True","True","tun0","1964280","95925","False"
"6","reconnect_006_20260901_173448","12421","False","True","4","0","False","True","True","tun0","16906","5667","False"
"7","reconnect_007_20260901_173514","11471","False","True","4","0","False","True","True","tun0","22026","6986","False"
"8","reconnect_008_20260901_173537","11822","False","True","4","0","False","True","True","tun0","14781","6326","False"
"9","reconnect_009_20260901_173600","9808","False","True","4","0","False","True","True","tun0","16731","5456","False"
"10","reconnect_010_20260901_173620","0","True","False","0","0","False","False","False","","0","0","False"
