"cycle","run","verification_seen","probe_process_started","probe_start_unix_ms","native_probe_pass","native_probe_fail","real_http_passes","real_http_failures","real_traffic_pass","classification","vpn_active","vpn_validated","vpn_validated_seen","tun_interface","tun_rx_delta","tun_tx_delta","final_ui","connected_to_verifying","outbound_invalidations"
"1","manual_01_20260901_194637","True","True","1788281201058","True","False","2","0","True","A","True","True","True","tun0","18833","4593","CONNECTED","0","0"
"2","manual_02_20260901_194652","True","True","1788281216205","True","False","0","2","False","D","True","True","True","tun0","6002","6312","CONNECTED","0","0"
"3","manual_03_20260901_194708","True","True","1788281231555","False","True","0","2","False","B","False","False","True","tun0","0","0","OTHER","0","0"
"4","manual_04_20260901_194723","True","True","1788281246315","True","False","2","0","True","A","True","True","True","tun0","20102","8526","CONNECTED","0","0"
"5","manual_05_20260901_194738","True","True","1788281261426","True","False","0","2","False","D","True","True","True","tun0","5910","5697","CONNECTED","0","0"
"6","manual_06_20260901_194753","True","True","1788281276703","True","False","0","2","False","D","True","True","True","tun0","4251","4197","CONNECTED","0","0"
"7","manual_07_20260901_194808","True","True","1788281291982","True","False","2","0","True","A","True","True","True","tun0","15429","12453","CONNECTED","0","0"
"8","manual_08_20260901_194824","True","True","1788281307276","True","False","2","0","True","A","True","True","True","tun0","24650","10924","CONNECTED","0","0"
"9","manual_09_20260901_194839","True","True","1788281322553","True","False","0","2","False","D","True","True","True","tun0","6026","6242","CONNECTED","0","0"
"10","manual_10_20260901_194854","True","True","1788281337556","False","True","0","2","False","B","False","False","False","tun0","0","0","OTHER","0","0"
