"cycle","run","verification_seen","probe_process_started","probe_start_unix_ms","native_probe_pass","native_probe_fail","verifying_real_http_passes","verifying_real_http_failures","connected_real_http_passes","connected_real_http_failures","real_http_passes","real_http_failures","real_traffic_pass","classification","vpn_active","vpn_validated","vpn_validated_seen","tun_interface","tun_rx_delta","tun_tx_delta","final_ui","connected_to_verifying","outbound_invalidations"
"1","manual_01_20260901_195056","True","True","1788281459531","True","False","0","2","2","0","2","0","True","A","True","True","True","tun0","21184","11966","CONNECTED","0","0"
"2","manual_02_20260901_195112","True","True","1788281476067","True","False","0","2","2","0","2","0","True","A","True","True","True","tun0","21147","12707","CONNECTED","0","0"
"3","manual_03_20260901_195129","True","True","1788281492866","True","False","0","2","2","0","2","0","True","A","True","True","True","tun0","20169","12125","CONNECTED","0","0"
"4","manual_04_20260901_195146","True","True","1788281509380","False","True","0","2","0","0","0","2","False","B","False","False","False","tun0","0","0","OTHER","0","0"
"5","manual_05_20260901_195200","True","True","1788281524141","True","False","2","0","2","0","2","0","True","A","True","True","True","tun0","21913","12065","CONNECTED","0","0"
"6","manual_06_20260901_195217","True","True","1788281540811","True","False","2","0","2","0","2","0","True","A","True","True","True","tun0","33684","20214","CONNECTED","0","0"
"7","manual_07_20260901_195233","True","True","1788281556976","True","False","0","2","2","0","2","0","True","A","True","True","True","tun0","26152","13609","CONNECTED","0","0"
"8","manual_08_20260901_195250","True","True","1788281573638","False","True","0","2","0","0","0","2","False","B","False","False","True","tun0","0","0","OTHER","0","0"
"9","manual_09_20260901_195309","True","True","1788281592573","False","True","0","2","0","0","0","2","False","B","False","False","False","","0","0","OTHER","0","0"
"10","manual_10_20260901_195323","True","True","1788281607207","True","False","0","2","2","0","2","0","True","A","True","True","True","tun0","20775","12538","CONNECTED","0","0"
