"preset","siteId","service","kind","requestedHostname","currentHostname","browserStatus","visualNote","readyState","bodyTextLength","imageCount","completeImageCount","resourceCount","failedResourceCount","mainStatus","mainProtocol","mainTtfbMs","protocols","rootRoute","rootDns","rootMatchedRule","rootMatchedRuleSet","routeDecisions","dnsDecisions","ipFamilies","generationCount","mixedRouting","captureId"
"direct","gosuslugi","Gosuslugi","mandatory","www.gosuslugi.ru","www.gosuslugi.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","1296","46","46","185","12","200","h2","92.44","h2|websocket","NO_TUN","SYSTEM","","","","","","0","NO","20260731T074658Z-a8147473"
"direct","esia","ESIA","mandatory","esia.gosuslugi.ru","esia.gosuslugi.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","373","2","2","53","10","302","http/1.1","113.83","http/1.1|h3|h2|UNKNOWN","NO_TUN","SYSTEM","","","","","","0","NO","20260731T074710Z-a29cd224"
"direct","goskey","Goskey public page","mandatory","goskey.ru","goskey.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","925","5","5","21","1","200","http/1.1","110.32","http/1.1|h2|h3","NO_TUN","SYSTEM","","","","","","0","NO","20260731T074721Z-27a1f6f8"
"direct","nalog","Nalog","mandatory","www.nalog.gov.ru","www.nalog.gov.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","4294","40","40","111","3","301","h2","5.66","h2|UNKNOWN|http/1.1|websocket","NO_TUN","SYSTEM","","","","","","0","NO","20260731T074731Z-cbaaae19"
"direct","mos","Mos.ru","mandatory","www.mos.ru","www.mos.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","4414","23","23","140","1","200","h2","143.13","h2|http/1.1|websocket","NO_TUN","SYSTEM","","","","","","0","NO","20260731T074749Z-e7f0d739"
"direct","cbr","Central Bank","mandatory","cbr.ru","cbr.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","3827","18","18","79","0","200","h2","120.65","h2|websocket","NO_TUN","SYSTEM","","","","","","0","NO","20260731T074802Z-3e938183"
"direct","sbp","SBP","mandatory","sbp.nspk.ru","sbp.nspk.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","2265","55","10","166","2","200","h2","3.87","h2|websocket|http/1.1","NO_TUN","SYSTEM","","","","","","0","NO","20260731T074812Z-6f033745"
"direct","sber","Sber","mandatory","www.sberbank.ru","www.sberbank.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","3375","38","20","180","14","200","h2","233.94","h2|UNKNOWN|http/1.1|websocket","NO_TUN","SYSTEM","","","","","","0","NO","20260731T074823Z-070fced5"
"direct","tbank","T-Bank","mandatory","www.tbank.ru","www.tbank.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","6576","184","174","292","4","200","h2","633.68","h2|UNKNOWN|http/1.1|websocket","NO_TUN","SYSTEM","","","","","","0","NO","20260731T074833Z-faaa704b"
"direct","alfa","Alfa-Bank","mandatory","alfabank.ru","chromewebdata","INCONCLUSIVE","Chrome TLS page: NET::ERR_CERT_AUTHORITY_INVALID","complete","208","0","0","1","1","","UNKNOWN","","UNKNOWN","NO_TUN","SYSTEM","","","","","","0","NO","20260731T074846Z-f39b38ea"
"direct","vtb","VTB","mandatory","www.vtb.ru","www.vtb.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","3726","57","25","136","6","200","http/1.1","223.46","http/1.1|h2","NO_TUN","SYSTEM","","","","","","0","NO","20260731T074855Z-c4d72c9d"
"direct","gazprombank","Gazprombank","mandatory","www.gazprombank.ru","www.gazprombank.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","18430","107","107","421","3","200","h2","1342.29","h2|http/1.1|websocket","NO_TUN","SYSTEM","","","","","","0","NO","20260731T074906Z-ec79b708"
"direct","raiffeisen","Raiffeisen","mandatory","www.raiffeisen.ru","www.raiffeisen.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","2041","9","9","83","1","200","http/1.1","265.45","http/1.1|h2|websocket","NO_TUN","SYSTEM","","","","","","0","NO","20260731T074921Z-84fa201f"
"direct","sovcombank","Sovcombank","mandatory","sovcombank.ru","sovcombank.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","6467","66","66","109","3","200","h2","462.98","h2|UNKNOWN|http/1.1|websocket|h3","NO_TUN","SYSTEM","","","","","","0","NO","20260731T074933Z-0cd4343f"
"direct","yandex","Yandex","mandatory","yandex.ru","dzen.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","6778","3","1","174","0","302","h2","6.06","h2|http/1.1|websocket","NO_TUN","SYSTEM","","","","","","0","NO","20260731T074945Z-53105a44"
"direct","yandex_search","Yandex Search","mandatory","yandex.ru","yandex.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","3252","3","3","294","14","302","h2","111.15","h2|http/1.1|UNKNOWN|websocket|h3","NO_TUN","SYSTEM","","","","","","0","NO","20260731T074957Z-2447eae1"
"direct","yandex_maps","Yandex Maps","mandatory","yandex.ru","yandex.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","716","1","0","125","9","200","h2","135.05","h2|http/1.1|websocket|UNKNOWN","NO_TUN","SYSTEM","","","","","","0","NO","20260731T075008Z-0763c5fd"
