"service","hostname","resourceCategory","cname","routeBefore","browserFailureBefore","routeAfter","browserResultAfter","ruleChange"
"VTB","vk.com","BROWSER_RESOURCE","NOT_EXPOSED_BY_CDP","RU_IP_MATCH_REQUIRED","NONE_OBSERVED","DIRECT/REMOTE","LOADED_OR_NON_FATAL_RESOURCE","NO_SERVICE_RULE_CHANGE; ZAPRET_RU_IP_MATCHED"
"Gazprombank","vk.com","BROWSER_RESOURCE","NOT_EXPOSED_BY_CDP","RU_IP_MATCH_REQUIRED","NONE_OBSERVED","DIRECT/REMOTE","LOADED_OR_NON_FATAL_RESOURCE","NO_SERVICE_RULE_CHANGE; ZAPRET_RU_IP_MATCHED"
"Ozon","cdn1.ozonusercontent.com","BROWSER_RESOURCE","NOT_EXPOSED_BY_CDP","RU_IP_MATCH_REQUIRED","NONE_OBSERVED","DIRECT/REMOTE","LOADED_OR_NON_FATAL_RESOURCE","NO_SERVICE_RULE_CHANGE; ZAPRET_RU_IP_MATCHED"
"Ozon","cdn1.ozonusercontent.com","BROWSER_RESOURCE","NOT_EXPOSED_BY_CDP","RU_IP_MATCH_REQUIRED","NONE_OBSERVED","DIRECT/REMOTE","LOADED_OR_NON_FATAL_RESOURCE","NO_SERVICE_RULE_CHANGE; ZAPRET_RU_IP_MATCHED"
"Avito","www.avito.st","BROWSER_RESOURCE","NOT_EXPOSED_BY_CDP","RU_IP_MATCH_REQUIRED","NONE_OBSERVED","DIRECT/REMOTE","LOADED_OR_NON_FATAL_RESOURCE","NO_SERVICE_RULE_CHANGE; ZAPRET_RU_IP_MATCHED"
"Avito","90.img.avito.st","BROWSER_RESOURCE","NOT_EXPOSED_BY_CDP","RU_IP_MATCH_REQUIRED","NONE_OBSERVED","DIRECT/REMOTE","LOADED_OR_NON_FATAL_RESOURCE","NO_SERVICE_RULE_CHANGE; ZAPRET_RU_IP_MATCHED"
"Avito","avito.st","BROWSER_RESOURCE","NOT_EXPOSED_BY_CDP","RU_IP_MATCH_REQUIRED","NONE_OBSERVED","DIRECT/REMOTE","LOADED_OR_NON_FATAL_RESOURCE","NO_SERVICE_RULE_CHANGE; ZAPRET_RU_IP_MATCHED"
"Avito","00.img.avito.st","BROWSER_RESOURCE","NOT_EXPOSED_BY_CDP","RU_IP_MATCH_REQUIRED","NONE_OBSERVED","DIRECT/REMOTE","LOADED_OR_NON_FATAL_RESOURCE","NO_SERVICE_RULE_CHANGE; ZAPRET_RU_IP_MATCHED"
"Avito","90.img.avito.st","BROWSER_RESOURCE","NOT_EXPOSED_BY_CDP","RU_IP_MATCH_REQUIRED","NONE_OBSERVED","DIRECT/REMOTE","LOADED_OR_NON_FATAL_RESOURCE","NO_SERVICE_RULE_CHANGE; ZAPRET_RU_IP_MATCHED"
"Avito","60.img.avito.st","BROWSER_RESOURCE","NOT_EXPOSED_BY_CDP","RU_IP_MATCH_REQUIRED","NONE_OBSERVED","DIRECT/REMOTE","LOADED_OR_NON_FATAL_RESOURCE","NO_SERVICE_RULE_CHANGE; ZAPRET_RU_IP_MATCHED"
