"siteId","directCurrentHostname","remoteCurrentHostname","directReadyState","remoteReadyState","directBodyTextLength","remoteBodyTextLength","directResourceCount","remoteResourceCount","directFailureCount","remoteFailureCount","directLoadEventMs","remoteLoadEventMs","directRoute","remoteRoute","directDns","remoteDns","directIpFamilies","remoteIpFamilies","cnameComparison","browserVerdict"
"gosuslugi","www.gosuslugi.ru","www.gosuslugi.ru","complete","complete","1296","1291","182","188","12","14","1081.2","275.6","DIRECT","DIRECT","DIRECT","REMOTE","IPv4","IPv4","NOT_EXPOSED_BY_CDP","DIRECT_DNS_NOT_VISUALLY_WORSE"
"esia","esia.gosuslugi.ru","esia.gosuslugi.ru","complete","complete","373","373","53","61","14","17","5343.3","411.5","DIRECT","DIRECT","DIRECT","REMOTE","IPv4","IPv4","NOT_EXPOSED_BY_CDP","DIRECT_DNS_NOT_VISUALLY_WORSE"
"sber","www.sberbank.ru","www.sberbank.ru","complete","complete","3377","3375","119","167","20","60","1511.1","1136.7","DIRECT","DIRECT","DIRECT","REMOTE","IPv4","IPv4","NOT_EXPOSED_BY_CDP","DIRECT_DNS_NOT_VISUALLY_WORSE"
"alfa","chromewebdata","chromewebdata","complete","complete","208","208","1","1","1","1","317.5","558.2","DIRECT","DIRECT","DIRECT","REMOTE","IPv4","IPv4","NOT_EXPOSED_BY_CDP","DIRECT_DNS_NOT_VISUALLY_WORSE"
"yandex","dzen.ru","dzen.ru","complete","complete","7091","5346","140","104","21","25","3961.5","2271.1","DIRECT","DIRECT","DIRECT","REMOTE","IPv4","IPv4","NOT_EXPOSED_BY_CDP","DIRECT_DNS_NOT_VISUALLY_WORSE"
"yandex_maps","yandex.ru","yandex.ru","complete","complete","371","716","15","104","9","3","1952.2","0","DIRECT","DIRECT","DIRECT","REMOTE","IPv4","IPv4","NOT_EXPOSED_BY_CDP","DIRECT_DNS_NOT_VISUALLY_WORSE"
"wildberries","www.wildberries.ru","www.wildberries.ru","complete","complete","8255","8196","182","232","3","52","1830.8","885.6","DIRECT","DIRECT","DIRECT","REMOTE","IPv4","IPv4","NOT_EXPOSED_BY_CDP","DIRECT_DNS_NOT_VISUALLY_WORSE"
"ozon","www.ozon.ru","www.ozon.ru","complete","complete","1029","1061","173","177","2","0","696.4","1104.3","DIRECT","DIRECT","DIRECT","REMOTE","IPv4","IPv4","NOT_EXPOSED_BY_CDP","DIRECT_DNS_NOT_VISUALLY_WORSE"
"twogis","2gis.ru","2gis.ru","complete","complete","1253","1256","98","111","29","41","2976.7","2522.3","DIRECT","DIRECT","DIRECT","REMOTE","IPv4","IPv4","NOT_EXPOSED_BY_CDP","DIRECT_DNS_NOT_VISUALLY_WORSE"
"ru_public_exit","2ip.ru","2ip.ru","complete","complete","1398","1398","29","33","6","7","1876.1","1902.9","DIRECT","UNKNOWN","DIRECT","REMOTE","IPv4","","NOT_EXPOSED_BY_CDP","DIRECT_DNS_NOT_VISUALLY_WORSE"
"global_public_exit","ipinfo.io","ipinfo.io","complete","complete","6962","7273","27","32","5","2","3384.4","3004.9","VPN","UNKNOWN","REMOTE","REMOTE","IPv4|IPv6","","NOT_EXPOSED_BY_CDP","DIRECT_DNS_NOT_VISUALLY_WORSE"
"ipv6","test-ipv6.com","test-ipv6.com","complete","complete","1000","1000","23","23","13","13","506.6","386.7","VPN","UNKNOWN","REMOTE","REMOTE","IPv4|IPv6","","NOT_EXPOSED_BY_CDP","DIRECT_DNS_NOT_VISUALLY_WORSE"
"dns_region","browserleaks.com","browserleaks.com","complete","complete","3663","3443","60","60","0","0","924.1","969.1","VPN","UNKNOWN","REMOTE","REMOTE","IPv4","","NOT_EXPOSED_BY_CDP","DIRECT_DNS_NOT_VISUALLY_WORSE"
"twogis_com","2gis.ae","2gis.ae","complete","complete","1109","1109","83","78","21","16","2053.2","4289.2","DIRECT","DIRECT","DIRECT","REMOTE","IPv4","IPv4","NOT_EXPOSED_BY_CDP","DIRECT_DNS_NOT_VISUALLY_WORSE"
