"preset","siteId","kind","hostname","resolvedIpHash","ipVersion","matchedRule","matchedRuleSet","route","dns","protocol","generation","eventCount"
"russia","gosuslugi","dns","cbr.ru","","","dns[5]:route","zapret-ru-domains","DIRECT","DIRECT","DNS/AAAA","1785483079407003","2"
"russia","gosuslugi","dns","cbr.ru","","","dns[5]:route","zapret-ru-domains","DIRECT","DIRECT","DNS/HTTPS","1785483079407003","1"
"russia","gosuslugi","dns","cbr.ru","hmac-sha256:e2494572cce0735628ecc3886e8e812a","IPv4","dns[5]:route","zapret-ru-domains","DIRECT","DIRECT","DNS/A","1785483079407003","2"
"russia","gosuslugi","route","cbr.ru","hmac-sha256:e2494572cce0735628ecc3886e8e812a","IPv4","route[8]:route","zapret-ru-domains","DIRECT","DIRECT","TLS/TCP","1785483079407003","2"
"russia","gosuslugi","dns","mc.yandex.ru","","","dns[2]:predefined","ru-adlist-hardcoded,geosite-ads,geosite-malware,geosite-phishing,geosite-cryptominers","BLOCK","BLOCK","DNS/HTTPS","1785483079407003","16"
"russia","gosuslugi","dns","mc.yandex.ru","","","dns[2]:predefined","ru-adlist-hardcoded,geosite-ads,geosite-malware,geosite-phishing,geosite-cryptominers","BLOCK","BLOCK","DNS/AAAA","1785483079407003","32"
"russia","gosuslugi","dns","mc.yandex.ru","","","dns[2]:predefined","ru-adlist-hardcoded,geosite-ads,geosite-malware,geosite-phishing,geosite-cryptominers","BLOCK","BLOCK","DNS/A","1785483079407003","32"
"russia","gosuslugi","dns","www.gosuslugi.ru","","","dns[5]:route","zapret-ru-domains","DIRECT","DIRECT","DNS/AAAA","1785483079407003","2"
"russia","gosuslugi","dns","www.gosuslugi.ru","hmac-sha256:81dbe330416294fac29d14405f6f07b2","IPv4","dns[5]:route","zapret-ru-domains","DIRECT","DIRECT","DNS/A","1785483079407003","2"
"russia","gosuslugi","dns","www.gosuslugi.ru","","","dns[5]:route","zapret-ru-domains","DIRECT","DIRECT","DNS/HTTPS","1785483079407003","1"
"russia","gosuslugi","dns","www.gosuslugi.ru","hmac-sha256:dab02a5c99e7df07066b3c47b383790d","IPv4","dns[5]:route","zapret-ru-domains","DIRECT","DIRECT","DNS/A","1785483079407003","2"
"russia","gosuslugi","dns","www.gosuslugi.ru","hmac-sha256:7a0f3c5332bb6c34b64fe24912082d79","IPv4","dns[5]:route","zapret-ru-domains","DIRECT","DIRECT","DNS/A","1785483079407003","2"
"russia","gosuslugi","dns","www.gosuslugi.ru","hmac-sha256:bfb59498643182799bfdab7973368b04","IPv4","dns[5]:route","zapret-ru-domains","DIRECT","DIRECT","DNS/A","1785483079407003","2"
"russia","gosuslugi","dns","www.gosuslugi.ru","hmac-sha256:88a9a39839353967cd49d749aa42f61d","IPv4","dns[5]:route","zapret-ru-domains","DIRECT","DIRECT","DNS/A","1785483079407003","2"
"russia","gosuslugi","dns","www.gosuslugi.ru","hmac-sha256:fde388f8152ad5c6314f170ee7cf580d","IPv4","dns[5]:route","zapret-ru-domains","DIRECT","DIRECT","DNS/A","1785483079407003","2"
"russia","gosuslugi","dns","www.gosuslugi.ru","hmac-sha256:0da8ca947def2e5ab78cf0de5963470e","IPv4","dns[5]:route","zapret-ru-domains","DIRECT","DIRECT","DNS/A","1785483079407003","2"
"russia","gosuslugi","dns","www.gosuslugi.ru","hmac-sha256:adf4e3ef034208ecd4a74a8a7c355c2a","IPv4","dns[5]:route","zapret-ru-domains","DIRECT","DIRECT","DNS/A","1785483079407003","2"
"russia","gosuslugi","route","www.gosuslugi.ru","hmac-sha256:81dbe330416294fac29d14405f6f07b2","IPv4","route[8]:route","zapret-ru-domains","DIRECT","DIRECT","TLS/TCP","1785483079407003","2"
"russia","gosuslugi","dns","bot.gosuslugi.ru","","","dns[5]:route","zapret-ru-domains","DIRECT","DIRECT","DNS/AAAA","1785483079407003","1"
"russia","gosuslugi","dns","bot.gosuslugi.ru","","","dns[5]:route","zapret-ru-domains","DIRECT","DIRECT","DNS/HTTPS","1785483079407003","1"
"russia","gosuslugi","dns","bot.gosuslugi.ru","hmac-sha256:62e51f46daa9e0e7e8c280a42f99d3bc","IPv4","dns[5]:route","zapret-ru-domains","DIRECT","DIRECT","DNS/A","1785483079407003","1"
"russia","gosuslugi","dns","bot.gosuslugi.ru","hmac-sha256:ab560eed34c3601e40aac2b2279b58f4","IPv4","dns[5]:route","zapret-ru-domains","DIRECT","DIRECT","DNS/A","1785483079407003","1"
"russia","gosuslugi","route","bot.gosuslugi.ru","hmac-sha256:62e51f46daa9e0e7e8c280a42f99d3bc","IPv4","route[8]:route","zapret-ru-domains","DIRECT","DIRECT","TLS/TCP","1785483079407003","1"
"russia","esia","dns","esia.gosuslugi.ru","","","dns[5]:route","zapret-ru-domains","DIRECT","DIRECT","DNS/AAAA","1785483079407003","10"
"russia","esia","dns","esia.gosuslugi.ru","","","dns[5]:route","zapret-ru-domains","DIRECT","DIRECT","DNS/HTTPS","1785483079407003","1"
"russia","esia","dns","esia.gosuslugi.ru","hmac-sha256:20b1785170528338f068a74609d2a2ce","IPv4","dns[5]:route","zapret-ru-domains","DIRECT","DIRECT","DNS/A","1785483079407003","10"
"russia","esia","dns","esia.gosuslugi.ru","hmac-sha256:d4990a490769115fa7f0ace1fd240189","IPv4","dns[5]:route","zapret-ru-domains","DIRECT","DIRECT","DNS/A","1785483079407003","10"
"russia","esia","route","esia.gosuslugi.ru","hmac-sha256:20b1785170528338f068a74609d2a2ce","IPv4","route[8]:route","zapret-ru-domains","DIRECT","DIRECT","TLS/TCP","1785483079407003","10"
"russia","esia","dns","mc.yandex.ru","","","dns[2]:predefined","ru-adlist-hardcoded,geosite-ads,geosite-malware,geosite-phishing,geosite-cryptominers","BLOCK","BLOCK","DNS/AAAA","1785483079407003","8"
"russia","esia","dns","mc.yandex.ru","","","dns[2]:predefined","ru-adlist-hardcoded,geosite-ads,geosite-malware,geosite-phishing,geosite-cryptominers","BLOCK","BLOCK","DNS/A","1785483079407003","8"
"russia","esia","dns","mc.yandex.ru","","","dns[2]:predefined","ru-adlist-hardcoded,geosite-ads,geosite-malware,geosite-phishing,geosite-cryptominers","BLOCK","BLOCK","DNS/HTTPS","1785483079407003","4"
"russia","esia","dns","sfd.gosuslugi.ru","","","dns[5]:route","zapret-ru-domains","DIRECT","DIRECT","DNS/AAAA","1785483079407003","1"
"russia","esia","dns","sfd.gosuslugi.ru","hmac-sha256:286ea7bdf534aa0af59327a08c1fc3f5","IPv4","dns[5]:route","zapret-ru-domains","DIRECT","DIRECT","DNS/A","1785483079407003","1"
"russia","esia","dns","sfd.gosuslugi.ru","","","dns[5]:route","zapret-ru-domains","DIRECT","DIRECT","DNS/HTTPS","1785483079407003","1"
"russia","esia","route","sfd.gosuslugi.ru","hmac-sha256:286ea7bdf534aa0af59327a08c1fc3f5","IPv4","route[8]:route","zapret-ru-domains","DIRECT","DIRECT","TLS/TCP","1785483079407003","1"
"russia","esia","route","www.gosuslugi.ru","hmac-sha256:81dbe330416294fac29d14405f6f07b2","IPv4","route[8]:route","zapret-ru-domains","DIRECT","DIRECT","TLS/TCP","1785483079407003","1"
"russia","goskey","dns","goskey.ru","","","dns[5]:route","zapret-ru-domains","DIRECT","DIRECT","DNS/AAAA","1785483079407003","2"
"russia","goskey","dns","goskey.ru","hmac-sha256:63949691769ee15e734484359b2e5571","IPv4","dns[5]:route","zapret-ru-domains","DIRECT","DIRECT","DNS/A","1785483079407003","2"
"russia","goskey","dns","goskey.ru","","","dns[5]:route","zapret-ru-domains","DIRECT","DIRECT","DNS/HTTPS","1785483079407003","1"
"russia","goskey","route","goskey.ru","hmac-sha256:63949691769ee15e734484359b2e5571","IPv4","route[8]:route","zapret-ru-domains","DIRECT","DIRECT","TLS/TCP","1785483079407003","2"
"russia","goskey","dns","mc.yandex.ru","","","dns[2]:predefined","ru-adlist-hardcoded,geosite-ads,geosite-malware,geosite-phishing,geosite-cryptominers","BLOCK","BLOCK","DNS/HTTPS","1785483079407003","12"
"russia","goskey","dns","mc.yandex.ru","","","dns[2]:predefined","ru-adlist-hardcoded,geosite-ads,geosite-malware,geosite-phishing,geosite-cryptominers","BLOCK","BLOCK","DNS/A","1785483079407003","24"
"russia","goskey","dns","mc.yandex.ru","","","dns[2]:predefined","ru-adlist-hardcoded,geosite-ads,geosite-malware,geosite-phishing,geosite-cryptominers","BLOCK","BLOCK","DNS/AAAA","1785483079407003","24"
"russia","nalog","dns","www.nalog.gov.ru","","","dns[5]:route","zapret-ru-domains","DIRECT","DIRECT","DNS/AAAA","1785483079407003","2"
"russia","nalog","dns","www.nalog.gov.ru","","","dns[5]:route","zapret-ru-domains","DIRECT","DIRECT","DNS/HTTPS","1785483079407003","1"
"russia","nalog","dns","www.nalog.gov.ru","hmac-sha256:32e3bcfc4f578faf3868a23da718eda9","IPv4","dns[5]:route","zapret-ru-domains","DIRECT","DIRECT","DNS/A","1785483079407003","2"
"russia","nalog","route","www.nalog.gov.ru","hmac-sha256:32e3bcfc4f578faf3868a23da718eda9","IPv4","route[8]:route","zapret-ru-domains","DIRECT","DIRECT","TLS/TCP","1785483079407003","2"
"russia","nalog","dns","data.nalog.ru","","","dns[5]:route","zapret-ru-domains","DIRECT","DIRECT","DNS/AAAA","1785483079407003","1"
"russia","nalog","dns","data.nalog.ru","","","dns[5]:route","zapret-ru-domains","DIRECT","DIRECT","DNS/HTTPS","1785483079407003","1"
"russia","nalog","dns","data.nalog.ru","hmac-sha256:32e3bcfc4f578faf3868a23da718eda9","IPv4","dns[5]:route","zapret-ru-domains","DIRECT","DIRECT","DNS/A","1785483079407003","1"
"russia","nalog","route","data.nalog.ru","hmac-sha256:32e3bcfc4f578faf3868a23da718eda9","IPv4","route[8]:route","zapret-ru-domains","DIRECT","DIRECT","TLS/TCP","1785483079407003","6"
"russia","nalog","dns","pos.gosuslugi.ru","","","dns[5]:route","zapret-ru-domains","DIRECT","DIRECT","DNS/AAAA","1785483079407003","1"
"russia","nalog","dns","pos.gosuslugi.ru","hmac-sha256:fbe00539d2f92adfee9b3eb52921608d","IPv4","dns[5]:route","zapret-ru-domains","DIRECT","DIRECT","DNS/A","1785483079407003","1"
"russia","nalog","dns","pos.gosuslugi.ru","","","dns[5]:route","zapret-ru-domains","DIRECT","DIRECT","DNS/HTTPS","1785483079407003","1"
"russia","nalog","route","pos.gosuslugi.ru","hmac-sha256:fbe00539d2f92adfee9b3eb52921608d","IPv4","route[8]:route","zapret-ru-domains","DIRECT","DIRECT","TLS/TCP","1785483079407003","4"
"russia","nalog","dns","mc.yandex.ru","","","dns[2]:predefined","ru-adlist-hardcoded,geosite-ads,geosite-malware,geosite-phishing,geosite-cryptominers","BLOCK","BLOCK","DNS/HTTPS","1785483079407003","4"
