artifact,site,run_count,complete_count,main_status,protocols,result,notes
stage28_exact_07158f91,example.com,1,0,none,none,FAIL,"ERR_CONNECTION_CLOSED"
stage28_exact_07158f91,YouTube,1,0,none,none,FAIL,"ERR_CONNECTION_CLOSED"
stage28_exact_07158f91,Telegram_public,1,0,none,none,FAIL,"ERR_CONNECTION_CLOSED"
stage28_exact_07158f91,Cloudflare_Speedtest,1,0,none,none,FAIL,"ERR_FAILED"
stage28_exact_07158f91,Cloudflare_QUIC,1,1,200,h3,PASS,"partial Global data plane"
stage27_compat_core,YouTube,1,0,none,none,FAIL,"same as Stage 2.8"
stage27_compat_core,Telegram_public,1,0,none,none,FAIL,"same as Stage 2.8"
stage27_compat_core,Cloudflare_Speedtest,1,0,none,none,FAIL,"same as Stage 2.8"
stage29_validation_control,YouTube,5,5,302,"h2;h3",PASS,"all essential captures loaded"
stage29_validation_control,Telegram_public,5,5,200,h2,PASS,"all resources succeeded"
stage29_validation_control,Cloudflare_Speedtest,5,5,200,"http/1.1;measurement TCP",PASS,"R4 R5 R6 R8 R10; complete download+upload; loss 0%"
stage29_production_828d7ae9,YouTube,5,5,302,"h2;h3",PASS,"exact installed base.apk"
stage29_production_828d7ae9,Telegram_public,5,5,200,h2,PASS,"exact installed base.apk"
stage29_production_828d7ae9,Cloudflare_Speedtest,3,0,200,http/1.1,FAIL,"download observed; upload/final metrics missing"
