artifact,endpoint_or_probe,transport,scenario,attempts,successes,failures,result,failure_stage,notes
stage28_exact_07158f91,example.com,HTTPS,browser_main,1,0,1,FAIL,connection_close,"ERR_CONNECTION_CLOSED"
stage28_exact_07158f91,www.youtube.com,HTTPS,browser_service,1,0,1,FAIL,connection_close,"ERR_CONNECTION_CLOSED"
stage28_exact_07158f91,t.me,HTTPS,browser_service,1,0,1,FAIL,connection_close,"ERR_CONNECTION_CLOSED"
stage28_exact_07158f91,speed.cloudflare.com,HTTPS,browser_speedtest,1,0,1,FAIL,page_load,"ERR_FAILED"
stage28_exact_07158f91,cloudflare-quic.com,HTTP/3,browser_probe,1,1,0,PASS,none,"HTTP 200 h3"
stage27_compat_core,example.com,HTTPS,browser_main,1,0,1,FAIL,connection_close,"same symptom as Stage 2.8"
stage27_compat_core,www.youtube.com,HTTPS,browser_service,1,0,1,FAIL,connection_close,"same symptom as Stage 2.8"
stage27_compat_core,t.me,HTTPS,browser_service,1,0,1,FAIL,connection_close,"same symptom as Stage 2.8"
stage27_compat_core,speed.cloudflare.com,HTTPS,browser_speedtest,1,0,1,FAIL,page_load,"same symptom as Stage 2.8"
stage27_compat_core,cloudflare-quic.com,HTTP/3,browser_probe,1,1,0,PASS,none,"HTTP 200 h3"
stage29_validation_control,speed.cloudflare.com,HTTPS,64_KiB,20,20,0,PASS,none,"VALIDATED VPN"
stage29_validation_control,speed.cloudflare.com,HTTPS,10_MiB_download,5,5,0,PASS,none,"VALIDATED VPN"
stage29_validation_control,speed.cloudflare.com,HTTPS,10_MiB_upload,5,5,0,PASS,none,"VALIDATED VPN"
stage29_validation_control,speed.cloudflare.com,HTTPS,parallel_download_4x,20,20,0,PASS,none,"5 MiB each"
stage29_validation_control,speed.cloudflare.com,HTTPS,parallel_upload_4x,20,20,0,PASS,none,"5 MiB each"
stage29_validation_control,cloudflare.com,HTTP/3,HttpEngine,5,5,0,PASS,none,"4 h3; 1 h2 fallback"
stage29_production_828d7ae9,www.youtube.com,HTTPS,browser_service,5,5,0,PASS,none,"3 h3; 2 h2 main documents"
stage29_production_828d7ae9,t.me,HTTPS,browser_service,5,5,0,PASS,none,"5 h2 main documents"
stage29_production_828d7ae9,speed.cloudflare.com,HTTPS,browser_speedtest,3,0,3,FAIL,upload_not_completed,"fixed-window captures never produced complete download+upload"
stage29_production_828d7ae9,speed.cloudflare.com,HTTPS,64_KiB,20,20,0,PASS,none,"clean foreground series"
stage29_production_828d7ae9,speed.cloudflare.com,HTTPS,10_MiB_download,5,5,0,PASS,none,"clean foreground series"
stage29_production_828d7ae9,speed.cloudflare.com,HTTPS,10_MiB_upload,5,5,0,PASS,none,"clean foreground series"
stage29_production_828d7ae9,speed.cloudflare.com,HTTPS,parallel_download_4x,20,20,0,PASS,none,"completed after about 160 seconds"
stage29_production_828d7ae9,speed.cloudflare.com,HTTPS,parallel_upload_4x,20,17,3,FAIL,timeout,"three SocketTimeoutException at 32-34 seconds"
stage29_production_828d7ae9,cloudflare.com,HTTP/3,HttpEngine,9,9,0,PASS,none,"5 h3; 4 h2 fallback"
